id,neighbourhood_cleansed,room_type_simple,accommodates,bedrooms,price_clean,price_category,latitude,longitude,review_scores_rating,number_of_reviews,host_is_superhost
1307242150999872652,Barra da Tijuca,Casa/Apto Inteiro,4,2.0,285.0,Baixo,-23.0084875,-43.4277048,5.0,3,f
1386468330440823968,Ipanema,Casa/Apto Inteiro,4,2.0,628.0,Médio,-22.98548,-43.20875,5.0,1,f
1055787279379100887,Copacabana,Quarto Privado,2,1.0,220.0,Baixo,-22.982176284277152,-43.19298913729611,5.0,1,t
1430012024752403615,Vidigal,Casa/Apto Inteiro,2,1.0,143.0,Baixo,-22.995056640136287,-43.23346624946225,5.0,2,f
1232215151978636872,Copacabana,Quarto Privado,2,0.0,440.0,Médio-Baixo,-22.98535352908773,-43.19061920483894,4.67,12,f
771880491030371068,Copacabana,Casa/Apto Inteiro,6,1.0,215.0,Baixo,-22.9769294,-43.1914102,4.62,63,t
41792466,Camorim,Quarto Privado,2,1.0,333.0,Médio-Baixo,-22.97446,-43.41512,4.82,11,f
1232831432727750049,Botafogo,Casa/Apto Inteiro,3,2.0,325.0,Médio-Baixo,-22.955978212707887,-43.1810237788208,5.0,2,f
47987451,Botafogo,Casa/Apto Inteiro,4,2.0,374.0,Médio-Baixo,-22.9497,-43.18472,4.89,38,f
1374215096339775594,Recreio dos Bandeirantes,Quarto Privado,2,1.0,94.0,Muito Baixo,-23.012348531348582,-43.45222420424185,4.33,3,f
808046451377198400,Copacabana,Casa/Apto Inteiro,2,1.0,400.0,Médio-Baixo,-22.969284,-43.1890154,4.95,20,f
709237644419965344,Copacabana,Casa/Apto Inteiro,5,1.0,155.0,Baixo,-22.96916796933092,-43.182733765248166,4.88,32,f
1359405036989605982,Copacabana,Casa/Apto Inteiro,4,1.0,400.0,Médio-Baixo,-22.9631929019743,-43.174134299710126,4.0,4,f
46606272,Flamengo,Quarto Privado,1,1.0,108.0,Muito Baixo,-22.939798518338986,-43.17779621065273,4.81,59,f
568017023466801588,Copacabana,Casa/Apto Inteiro,4,1.0,256.0,Baixo,-22.97673,-43.18978,4.86,87,t
